评论内容,故障模式句子
我的avatar电池接口松了发回去免费更换还有四个桨叶,True
电机无异常不需要更换,True
然后避障一直响,True
只要云台不歪就不影响使用,True
我的air2s避障失效云台摔坏了后来分析数据确定机器自身问题,True
远距离有强干扰或者被遮挡信号的话正常,True
我的云台起飞前会自己突然歪到限位然后在慢慢回正,True
我的minise炸机了我的云台完好但是和飞机断开来了我看别人的视屏都说要直接换那我的完好无损的云台呢,True
才发现电机都变形了,True
路牌一是纯色二是反射率很高但凡有常识就知道跟拍一是要高二是要意识到路牌是很难被识别到的不过你还好上回有个问题小伙黑夜避障撞路牌这才是有点问题说明书也明确写了黑夜避障是基本无效的,True
因为画面提示电池故障,True
和没有避障抗风差的mini平起平坐了,True
多少过热问题电机问题,True
应该是电池故障,True
大概率不是电池故障,True
故障很可能是出在接口上,True
接触不良导致的电池检测信息不能正常回传,True
有时还报电机异常玩的非常不愉快,True
请问你是怎么处理的我也是mini2右前电机有卡顿感,True
桨叶停转不一致会炸机,True
就是电机生锈了,True
我的遥控器晃动虚位比这个大,True
我的镜头是歪的,True
我穿越机摔了磕到电机就这样,True
运动模式默认是会关闭避障的,True
电机在空中停转的话,True
我说这个电机发热大,True
路牌子可能反光严重干扰了臂章系统,True
夜晚避障失效不是常识吗,True
应该是图传丢失以后,True
我也是左上方电机收宁感觉异响,True
然后提示信号不好,True
就自动关闭避障,True
速度太快避障会失效的,True
当时还是没有图传黑屏状态）,True
但是我感觉是那时候风大然后动力满载之前桨叶有过磨损才会这样失高,True
我的桨叶就磨损了一点点,True
三星电池爆炸算明显吗,True
air2S云台过载算明显吗这些最后是厂家的问题还是消费者的问题,True
avata手动挡模式下5米以上飞控强制介入必须关闭,True
我见过有人摇杆n档正常飞行突然坠落大疆给赔了个新的,True
所以内部故障是什么意思,True
是因为一件短片在晚上避障失效丢的,True
这个就是个系统bug,True
摇杆换挡都无效,True
就是超调失控了说白了就是飞机重电机出力跟不上了很好解决就是把飞机调到非常迟钝大疆不愿意的,True
一般云台过载基本都是没有拆云台保护壳就开机,True
电机异响,True
报错和电池有什么关系,True
因为飞机系统大部分报错都在那,True
因为包括电池过热等问题电池管家会闪黄灯的,True
视频中充电管家是闪绿色呼吸灯,True
同时电池充电过程中电池上指示灯也会闪烁并指示正在充电,True
有一种情况是管家上的电池灯都不闪但实际上在充电,True
说明书上有写的充电到98后断电后想再充满,True
要考虑充电功率和发热两块同时充电也行啊,True
4G模块放上面4G信号不好,True
4g模块当然会干扰,True
这是轴承有缺陷,True
我这刚拆封的电池就电芯异常,True
UP主的镜头起雾吗,True
我第一次从官网买了御2专业版买回来云台都是歪的更本没法控制,True
这样轴承磨损更快后面电机会动平衡变差但是有云台无人机来说对画质没影响,True
还有刚买的第一次飞打方向时候云台直接歪了,True
云台的电机有异响,True
就是app现在云台电机过载修要多少钱过保了,True
超过60度电池容易鼓包,True
云台过载,True
我的手机云台有异常抖动的现象,True
比如我1W买的精灵炸机了机臂断了云台掉了镜头裂了700块钱能再换1W块钱么你觉得,True
Air1表示什么叫过热大夏天飞完电池基本上都能到60度,True
小心飞着飞着电池直接鼓包把飞机烧没,True
而且这飞机电池鼓包好像是通病,True
航模圈好多人飞着飞着电池原本好好的空中烧起来的,True
不知道某些人4个电机停转时间不一样就检测检测,True
怎么说呢换新回来可能也是异响寄回去让他换个好的电机可能还强点,True
云台稳定能力下降新机能3级风稳如马,True
其他没问题就是云台照相机镜头起雾,True
因为电池高温炸过一次,True
不代表有风扇的就一定不会过热,True
带着机腹一起响,True
我的Air2芯片过热,True
明显比我mini飞完的电池和精灵2v的电池都要烫好多,True
小心电池过热鼓包,True
航模圈子有很多电池鼓包了把家烧没的,True
我迷你二之前试过电池六七十度没有高温返航,True
但是信号不好,True
希望能上华为的星闪作为图传遥控技术,True
月份买的最新批次的还是会出现镜头起雾的情况,True
而且这些东西对于视觉避障来说都是不好识别的,True
信号不好掉下来砸到人或或者车都要出事故,True
没屏幕的遥控器不好用,True
我御3几乎每次飞都跳强风警告还让我降低高度但我开fpv模式发现机身压根没有一点晃动所以从来没管过它,True
我印象中如果是刚刚飞过换电池或者短暂关机,True
遥控不关机,True
起飞的时候也会说视觉避障会失效,True
4g模块会不会降低录制规格啊,True
我的M2P起飞离地五米就信号干扰严重了,True
真正干扰飞行的电线树枝都避不开,True
出现过一次云台倾斜,True
满了之后图传直接卡了,True
我只想问镜头起雾解决了吗,True
电池突然断电直接掉下来也很常见,True
iPhonePro的激光雷达会对cmos造成不可逆损伤吗,True
配无线麦克风倒是一个好想法远处收音的话螺旋桨的噪音应该不会有什么影响,True
希望他不要有镜头起雾的情况,True
我选择随了份子就走万一有熊孩子在抢遥控器或者直接拿东西砸无人机,True
摄像头虽然并不好,True
前几天3p镜头起雾刚送去修,True
镜头还会不会起雾,True
我想问问上一代镜头起雾,True
四块电池直接干到没电哈哈哈,True
到室内又遮挡着信号,True
然后陷入长焦和云台倾斜的风波,True
你这电池得废了吧,True
噪音消除的芯片分别来自于美国的德州仪器和Qorvo公司；,True
然后云台抖动,True
或者云台电机出问题过载严重,True
我想知道目前买御三pro的用户是不是都出现了拍视频的时候云台异常抖动,True
云台吹偏的问题解决了么,True
云台依旧自动漂移,True
间隔个墙就断图传的垃圾玩意,True
二手悟2八块电池的已经降到7k了只是下视觉传感器标定有问题,True
机身姿态偏了,True
信号不好的时候基本就不会继续飞了,True
御3的云台经常会歪,True
鱼眼避障失效了,True
桨叶太吵了,True
如果是好点的品牌运动相机应该隔音噪音会更好,True
机身也没划痕,True
nd是air3的必需品air3单机配上nd和充电器7600air2S4999而且nd对2S不是必需品送充电器你觉得air3还有什么性价比这差价再买台mini3或者买五六个2S的电池不好吗,True
RC连系统都没有运行djifly的小组件都卡的要死,True
带四G模块就可以无惧干扰吧,True
不带屏用手机的话不能接电话为了信号应该要关网络的而且就算不关插着遥控器也不好接电话其他应该没什么不便,True
长焦和延时会导致云台抖动,True
刚到手Air3充电崩溃中,True
电池两年被计划性报废,True
那这air3电池计划性报废是多久,True
各种BUG图传也不好,True
遥控器飞机都发热的厉害,True
这玩意加上高原电机过载,True
大疆的电池在高原会鼓包,True
云台被吹歪了,True
首先就是云台的抽风,True
然后就是云台歪脖,True
两块电池都飞了18分钟左右没有出现突然掉电的情况,True
是画质不好可我感觉他的飞控又更新了,True
但是这个大小的CMOS拍广角画质注定不好,True
低速飞行和简单的遥控逻辑也让新手降低了炸机和伤人的可能性,True
怕没信号回不来或者掉海里山里,True
虽然没避障但是有全包保护罩,True
电池鼓包了据说超海拔了,True
这个三叶桨比mini的两叶桨噪音要大很多,True
但是无人机是在气球下面的它不好估计大小除非多加传感器,True
如果近距离噪音可以更小一点的话完全可以代替稳定器拍一些跟随镜头,True
还有学校里面磕磕碰碰的屏幕还是镜头保护盖刮到了不用修,True
水库信号稍有干扰但是可以飞,True
目前neo可以卡bug不连遥控手机,True
希望这neo撞了之后别像avata2一样gps失控乱飞吧,True
你看看穿越机模拟图传的画质就不会说这个画质不好了,True
我还在用MINI2畅飞套装care过期了电池也有点鼓包了因为MINI2也是只有底部避障这么多年也习惯了有必要卖了换NEO吗,True
云台电机过载”,True
相机镜头故障报错1C000310,True
利用电脑程序重新升级固件都法清除故障,True
mini4pro相机镜头故障无法对焦,True
然后就提示电调异常,True
相机镜头故障”,True
说是云台轴臂组件异常,True
1.第一次开机遥控器连上飞机约10m后失联无信号,True
连接4G模块就黑屏),True
二是遥控器sd卡不能识别,True
间歇性图传中断,True
机身底部有划伤维修的费用大概需要多少米,True
这次2S因避障失效炸机导致云台支架断裂,True
前上避障模块组件变形,True
相机同轴线功能正常无断裂被判定为磨损需要付费更换,True
有没有Air3用户定向延时甩尾云台抖动的,True
出现前视传感器故障（,True
后视传感器好像也是有这样类似的警告）,True
能不能确认是软件bug而不是飞机质量问题,True
内部风扇咔咔咔的响,True
那么如何避免无人机因电池故障导致的炸机,True
是否为故障电池等,True
可有效规避使用故障电池,True
都存在信号弱或者无法链接的问题,True
相机又出新故障了,True
云台跟抽风一样,True
之后图传丢失（,True
再之后遥控信号也丢失（,True
因为相机镜头起雾,True
安全返航和感应器刹停同时失效如同科幻片AI崛起,True
电池快耗净的时无奈只能选择迫降到菜地里,True
昨天下午大疆技术看了飞行数据回电话告知是无人机GPS模块故障导致,True
视觉系统及避障失效,True
云台突然晃动,True
想问一下带屏遥控器屏幕有坏点如何处理,True
图传老是卡顿,True
偶尔手机屏幕会显示imu硬件故障或者云台报错,True
GPS信号弱,True
无论是狠打下降摇杆,True
这次故障可能给电池（,True
调至云台抖动才算正常啊,True
视觉镜头镜片有脏物遮挡、,True
云台倾斜 ,True
然后检测出云台故障 ,True
拍摄时已感觉云台图传有微小晃动,True
秒左右又提示飞控组件故障,True
云台图传明显晃动,True
在降落后显示电调故障需重启无人机,True
视觉系统避障失效”,True
电池就彻底报废,True
如果你能做到电池循环20次报废,True
大疆air2s后视避障失效,True
以往都会显示信号不好,True
维修结论主板损坏,True
AiR2主板故障烧损问题,True
针对我提出的避障功能失效出现的炸机,True
环境光过暗避障失效”,True
避障失效”,True
AirSense通讯故障”,True
一块随机电池出现故障,True
智能电池通信异常,True
起飞后显示云台过载,True
拿出来云台起雾了,True
周而复始........出现的直接故障是云台俯仰抽风,True
起初我以为电池经过工作发热后产生的自然现象,True
这一问题也暴露出大疆无人机的自身散热功能和电池本身的抗高温性能都存在技术问题,True
Pitch轴支架损坏导致云台增稳类故障,True
Yaw电机损坏导致云台增稳类故障,True
上盖电池仓口轻微破损（,True
提示电池可能故障,True
避障系统突然失效（,True
避障失效也没有任何提示（,True
视觉避障是失效的~,True
光线太暗避障失效了不是有飞行警示吗,True
怎么没有飞行警示的情况下你们都能判断现场过暗避障失效,True
遥控器黑屏,True
摔坏了一个机臂上的灯,True
起飞之后发现前后避障失效了,True
机械震动导致云台接口间歇接触不良,True
出现其中一侧电池出错、,True
比较复杂的情况是有时还没起飞就报告一侧电池故障；,True
打杆操作频繁报告一侧电池错误,True
未起飞前报告一侧电池错误的,True
下视避障就失效,True
今天飞机在空中飞的时候多次出现避障失效告警,True
这1块电池显示故障（,True
拍摄几张后突然APP界面的快门按钮失灵,True
云台先落地,True
竟然避障失效,True
落地换上新电池再调出航线来飞,True
避障失效问题,True
看看为什么会避障失效,True
前几天拿出来APP却一堆报错（,True
然后APP提示相机故障视觉系统故障,True
信号弱立即准备返航,True
遥控信号图标也一直闪烁,True
今天在青岛西海岸飞mini3遥控器突然和飞机断开连接,True
不是红外报错就是视觉故障,True
怕电池突然放电c数跟不上,True
跟电池鼓包有没有关系,True
这电池每个都鼓包,True
云台外表无损坏,True
为啥起飞前遥控器没有异常显示,True
核心板没进水,True
云台没过载,True
机身上没有地方变形,True
依赖避障系统飞行可能导致飞行员对无人机的操控能力下降,True
依赖单一的避障系统意味着一旦该系统出现故障,True
以便在避障系统失效或遇到特殊情况时能够迅速采取应对措施,True
二来说明主板的可靠性已加降低,True
刚起飞30秒电机过载炸机差点掉马路上砸到人,True
只是支撑云台的一个小部件撞坏了,True
机身没有损伤,True
云台两侧的缓震橡胶垫有破损断裂,True
云台无异常,True
镜头外壳也撞裂了,True
今天飞机一直提示GPS信号弱,True
只摔坏了一副螺旋桨 ,True
捡回来后发现云台脱落,True
回来后发现电池也撞坏了,True
拿出来放电维护电池,True
电池有点鼓包,True
以前二块电池都鼓包）,True
机器和云台都损坏了,True
遥控器信号受干扰”,True
遥控器也会被干扰吗,True
不是飞机的GPS信号会遭到干扰吗,True
桨叶没有明显变形,True
结果意外发现除了桨叶损坏后,True
信号丢失2,True
避障失效,True
返航过程中信号一直都不好,True
的电池鼓包了,True
如果你的飞机电池已经鼓包了,True
机臂电机桨叶起落架全部报废,True
后观察黑盒数据发现高度传感器与输出控制器并无明显异常,True
APP自检没有报错,True
下降靠近时信号丢失,True
突然电机停转 ,True
就右面前机臂断裂,True
废了两片桨,True
飞的时候云台抖动,True
无线电干扰严重 ,True
取出电池发现是电池鼓包所致,True
再检查其它电池也发现另一块有鼓包现象,True
可能是电线不好识别）,True
螺旋桨都没有蹭,True
没想到莫名其妙没有操控遥控器撞墙掉下去了,True
云台没有撞击痕迹和磕碰,True
看回眼镜端录制最后坠落时候信号显示还有3,True
然后云台废了,True
还废了半天劲更新了固件,True
但是避障功能还是关闭了,True
遥控信号也会被干扰,True
外壳没有损伤,True
系统提示传感器异常,True
外壳有点磨损,True
我就外壳和云台外轴和电机损坏并且也不严重,True
我的螺旋桨有一定损坏就换了,True
云台有异响,True
有一个云台支架裂开,True
就外壳变形了 ,True
首先找到脱落的电池,True
信号干扰强,True
这时候光线黑暗也是无人机避障失灵的时光,True
机臂断了2个,True
避障烂了4个,True
眼镜电池温度过低”,True
所以幸只损坏一个机翼,True
图传直接断连,True
不存在信号不好导致的大延迟,True
左转发现飞控抽风,True
出现图传模糊,True
在返航的过程中降低高度后再次图传模糊、,True
遥控手柄受干扰,True
无人机信号极易被干扰及遮蔽,True
相机fx3镜头2470录音直接砸地,True
左后机臂有点损坏,True
叶片断了两个,True
起飞不到一分钟提示电机停转、,True
昨天在意山上无人机起飞1.2分钟后遥控器提示飞机连不上遥控器,True
意识到可能电池鼓包弹出导致失电坠机了,True
电池鼓包了咋办,True
汽车电池这几年都下降了这么多,True
拿下来的时候一个桨叶断了,True
幸好只损坏了一片桨叶,True
云台支架和连接线断了 ,True
螺旋桨断了两对,True
电机空中停桨,True
所以断了小半个螺旋桨,True
这小半个螺旋桨应该不好断,True
掉下来看了一下没有什么问题我还是使用这个断了的螺旋桨起飞了,True
避障无效,True
与遥控器断连后就掉落了,True
桨叶废了4片😭,True
并且也多次提示云台电机过热,True
也没有检测出云台过载 ,True
我的mini3机臂异响了,True
识别是否为故障电池 ,True
避免无人机因电池故障而造成的炸机事故 ,True
无人机就突然丢失了信号,True
无人机桨叶也报废了一对,True
索性机体没有大的损伤,True
遥控器上的指示灯全部闪烁 ,True
这全向避障真的一点不避障呀,True
2s后机臂折叠后会有松动,True
云台断裂,True
大马三侧避障失效,True
眼看电池没电了,True
后拉高后右下角红色遥控器异常连接,True
遥控器连接异常（,True
希望遥控器异常能够有最终结论,True
不过检查后发现云台外表有擦痕,True
机臂边缘刮蹭了一点,True
8个桨叶全部报废,True
Air3关不了下视觉红外感应的也关不了降落保护的只有御系列才有这个功能,True
Air3关不了下视觉红外感应的也关不了降落保护的只有御系列才有这个功能还有真这么高说让我打下降杆的话不碰地不停浆万一停浆了呢注意看红色圈距离地面0.9米实际距离还有十几米他只能降落0.9后就会停浆知道吧 ,True
是不是臂章失灵了,True
可以关闭夏视觉避障,True
不落地不停桨的,True
我问一下mini3Pro从空中掉下来显示云台被卡屏幕也黑屏了这是什么情况需要换云台吗,True
也有车好像是被信号干扰了他就失控了,True
你把他的那个臂章系统给他关闭,True
然后直接外八螺旋桨断电,True
关闭避障呢,True
下视传感器又遮挡,True
飞机就算下降桨叶都会转动,True
关闭自能避障,True
或者电池插口太脏了通电不好,True
结果电池直接烧了,True
返航一看是电池烧了,True
像这种情况就有可能是你无人机上的电池接口坏掉了,True
维修寄回后发现飞机云台异常,True
介绍说没电没信号自动回来,True
有电堕落一直录像遥控器连不上,True
拉升40m左右突然就歪云台然后就失控坠机了,True
屏幕断星失联,True
老是断图传,True
发现很多云台无缘无故抖动抽风的,True
然后卫星瞬间掉二十多然后信号弱,True
云台歪了,True
我的也是云台突然抽风,True
高压线对信号有干扰,True
看视频大概率是电路板故障了,True
云台那个抖动随后失控明显是云台烧了,True
系统异常,True
我觉得最后一次更新固件升级不好,True
gps干扰,True
云台抖动根本没道理啊为啥啊,True
云台轴臂电机故障了吧,True
我Air3也是正常飞行中云台抽搐然后断图传,True
排线烧了吧,True
我在空中出现臂章故障,True
我的mini4p电池关机下无故大电流放电发热严重,True
又检测了一天发现电芯异常,True
通讯异常,True
应该是电池固件版本过低,True
电池显示就不准,True
镜头起雾,True
电池鼓包挤压等等,True
电池故障了,True
电池与飞机通讯中断了,True
我单位有安装无人机干扰系统,True
因为各种各样的无线电干扰太多了,True
而且我的应该也是全国首例电池掉落在他人车上爆炸自然了的,True
突然信号断了,True
被信号干扰了,True
飞机信号屏蔽区失联不很正常吗,True
无人机干扰系统,True
随便一个信号干扰就没了,True
遥控器飞行记录肯定有干扰预警,True
电池鼓包,True
楼跟楼直接影响信号不好了,True
城市飞行需要考虑很多因素比如信号塔密集的地方会干扰、,True
晚间是不是提示某些方向避障系统关闭了,True
传感器撞坏了怎么找,True
居然售后给我回执风扇测试异常,True
电池没电了都无法返回,True
一旦机器因误操作或因信号丢失触发自动返航极易炸机,True
好多安保配无人机干扰系统,True
是否是因为撞击及坠落导致损毁无法发送定位信号,True
信号不好,True
阴天信号弱,True
有信号干扰会这样,True
损坏电源系统有失联机会,True
通讯信号弱吧?,True
都撞击了肯定是把某些硬件撞坏了,True
我的原装电池鼓包了没在意,True
上次有个电池鼓包电压不足,True
我前几天是电池一直不掉电,True
是不是电池接口接触不良,True
电池接触不良就读取不出电池信息,True
之前有发现飞机的下传感器有橡胶圈脱落,True
应该是飞机过热导致橡胶圈收缩脱落,True
在使用过程中桨叶倒是有所破损,True
让他帮我解释一下橡胶圈是怎么脱落的,True
我把云台撞坏了还有其它几个地方也坏了,True
这种画面抖动是排线问题,True
烧内存卡现象有么,True
我的云台抖动不受控制,True
云台会很歪不知道为什么,True
云台烂了外壳炸了,True
我的mini3Pro见夏清以后云台歪了一点点,True
我的御2起飞就提示摇控器信号弱和图传信号弱,True
撞机掉下来后就断断续续和遥控器断联,True
天线互相干扰了,True
a3飞行中老是出现电调异常 ,True
遥控器和手机都连不上,True
遥控突然断联,True
系统出bug了,True
遥控器过热,True
出厂本身就没问题了的更新太多系统卡处理器又不是很强大,True
信号丢失又不是图传丢失,True
50米高距离也不远突然信号中断之后就没了,True
肯定是硬件故障,True
模拟卫星给你发射错误信号,True
丢失图传的地方根本找不到飞机,True
最可能的是飞机sn码在大疆系统里突然被丢失导致,True
换块电池就自燃了 ,True
gps断开连接 ,True
你看看跟的那辆车是不是电动的那种电动的车会烧传感器导致飞行炸机,True
螺旋桨断了一个,True
该避障异常在mini4pro机型就出现过,True
我都是关闭避障的,True
避障还显示异常,True
云台的0度和90度的切换延迟也比A3大,True
A3也出现了避障异常的情况,True
air3s今天我飞遇到云台卡顿,True
可以关闭避障啊,True
关闭避障就好了,True
空中悬停避障报警,True
这是激光雷达的通病,True
姿态异常也是因为避障,True
现在大疆的无人机真的是太多bug了还要不停的升级固件,True
买3几天出现避障报错无法前进,True
这是程序错误了,True
软件bug,True
避障错误我遇了,True
软件有漏洞正常谈不上漏洞,True
避障报错现在还没遇到,True
但是刚刚刷到另外一个博主的电机异响,True
避障误报是大疆所有带避障机型都会出现的情况,True
为什么电池掉电那么快,True
为啥我的Avata飞了几十米就图传信号丢失,True
飞控发现电机功率骤降,True
下面的红外关不了,True
大疆飞控需要感受到超过一秒钟的强制上升力才会停桨,True
新固件可以关闭视觉定位与避障,True
因为机器有问题要退款的如果你掉遮阳网上万一桨叶破损或机身有瑕疵你觉得大疆还会给你退吗,True
只要飞机没有落地桨叶就不会停,True
a3下视觉避障关不了的,True
不落地不停桨,True
air3没有关闭下视觉避障的这个功能只有御系列的才有,True
断遥控器也试了,True
a3关不了全部避障,True
开运动档就可以了避障失效,True
a3关不了避障,True
接住了停不了桨硬跟飞控掰掰了一分钟电机都发烫了,True
凡事大疆消费级无人机下视觉都有红外传感器感应你就伸手过去都会上升只有御系列的才可以手动关闭我这种情况就是红外传感器那个位置估计是有问题识别成距离地面1米导致显示可以降落数据正常的话离地面有10几米就是红外传感器有问题所以识别高低有误差这时候你不管干什么都会有危险只能找高处能降落的地方降落懂吧,True
他这个新的三维红外在穿云情况下会误报 ,True
这个情况不是智能能解决的是机器下视觉红外感应有问题懂不懂要不你先去抖音搜索一下a3红外感应或下视觉的问题这个东西手动关不了就是无法降落如果红外出问题的话,True
真是犟的你去搜搜a3的问题吧无法关闭的下视觉避障知道吗只能关前后左右上面下视觉无法关闭就会导致识别错误降落有风险,True
下视觉红外感应的问题关不了避障就挺麻烦的,True
没用的关不了红外感应的话就不行只有御系列的才可以,True
a3关不了下视觉避障的,True
下视避障是关不了的,True
有时候原地上升5米就断图传,True
另外鼓包的电池也要立马扔掉 ,True
军区信号干扰,True
air3炸机云台容易断,True
干扰枪会云台抖动,True
云台异常抽风抖动看见好几个,True
被打不会翻滚和云台异常,True
我有个御三pro飞友就是待着模块三丢失联了,True
干扰枪打了不是只会遥控失联,True
看着像射桨和空中停桨之后的姿态,True
然后电调异常,True
姿态模式虽然乱飘但是只要有图传就能手动打杆控制,True
姿态并不会镜头晃动 ,True
应该是直线爬升图传芯片过热了,True
那是功放芯片坏掉了,True
第二看看电池有没有鼓包,True
总插拔电池容易接触不良,True
市区楼跟楼信号越来越不好,True
图传撞断电了信号被遮蔽,True
避障在夜晚和光线弱的情况下本来就是没有用的,True
不是传感器出故障了,True
你先搞明白是自己操作问题还是传感器故障,True
晚上避障失效不是质量问题,True
无人机即使关闭导航,True
遥控器关机都能自动安全返回,True
我的飞机电池失效坠江怎么才赔偿一个5折券,True
无人机电池故障太危险了 ,True
我只看到别人改装电池自然和断电,True
我的原长短续航电池有时候压差也是会有0.01的,True
信号干扰了,True
全向避障避不开电线和小树枝,True
当时花屏显示相机故障,True
寄去检测模块信号不好问题,True
有时候有遮挡物飞5六百米都信号差了,True
感觉是遥控器发热以后就失效,True
遥控器是高亮屏在阳光下发热严重虽然有散热风扇起不了多大作用,True
机臂断了,True
你那个是电机堵塞停转,True
因为最先是提醒了电机过载,True
几秒钟后紧接着就电机停转坠机,True
没有gps信号只会随风飘不会失控,True
4G信号不能被随意干扰的,True
市区信号干扰多,True
APP里的坠机地点是不准确的,True
这电池是直接爆炸,True
中途突然飞机跟遥控失联,True
如果是电机问题的话是会有异响的,True
用了几天就出现传感器异常,True
有一个电机异响,True
买的时候不是提醒说夜间避障失效么,True
避障可能失效,True
但怕就怕不是软件算法问题而是硬件有问题缺陷,True
避障自动返航回不来,True
你们的电机有异响吗,True
我也有两次无人机电池为零电量距离几公里迫降过,True
学谁不好学水果厂我用手机充电头充一天充不满一块电池,True
图传有时候到一公里就会断开连接,True
就是城市用的模块也有点卡,True
几个机翼破损,True
机身腹部发热比较严重,True
且飞且珍惜图传隔着楼信号就骤降,True
室内信号不好的话飞不远,True
500米信号丢失,True
一个桨叶卡顿,True
机身倾斜很严重,True
什么时候信号不好,True
眼镜图传延迟也感觉不出来,True
一次是信号不好,True
东西还行吧就是gps摔坏了没有gnss信号不能返航了,True
歪云台 ,True
遥控器发烫的厉害,True
说不上好不好体验感极差.飞了几百米就卡顿无信号模糊不清,True
信号中断差点失联也能回来,True
刚起飞就电机故障,True
桨叶断了,True
稍微大一点的风镜头会轻微抖动,True
就是机身有点烫,True
图传画质不好,True
就是在市区容易受信号干扰,True
估计是周边高楼遮挡了信号,True
飞机飞完后电池和机身都很烫,True
然后再下降信号就会被遮挡,True
就是信号隔几栋房子的话会比较弱,True
信号丢失平安飞回,True
信号很稳定不抖动,True
就是感觉电池一下就没电了,True
除了遥控器图传有缺陷,True
光线不足就会自动关闭避障功能,True
夜间的避障是无效的嘿嘿嘿 ,True
图传信号丢失即自动返航,True
还有避障基本上不怕炸的上回把避障关了,True
电池放电一样快除非开节能模式但那个节能模式的开关,True
飞机晚上避障功能会失效,True
2km内无遮挡十分跟手2.5km后开始信号丢失稳定性,True
镜头也歪了,True
没建筑遮挡信号很好,True
在无信号干扰宽广的场地飞个几公里的话,True
应该不会丢失信号的,True
就是4g有点卡固件更新后好了很多,True
更快的速度和全新的图传操作起来延迟很低,True
七天只有一次因为障碍物遮挡丢失图传,True
每次飞都停不下来电池不够用,True
一直显示长约遥感信号受到干扰,True
信号有遮挡容易丢失,True
唯一的瑕疵是电池续航太短,True
明拿到第一天试飞时操作失误损坏了机体,True
电池在飞行时脱落的潜在可能,True
gps信号稳定前容易偏移,True
没注意gps信号弱,True
到手试了一下就废了一边的两个桨叶,True
就是信号确实弱了点,True
有个bug二代手柄不支持虚拟飞行,True
不过这螺旋桨是真脆弱,True
刚打开就发现镜头周边有疑似鼓包现象,True
就几分钟就没电了准备再买电池穿越机比航拍无人机更难操作但是后边玩熟了应该会很刺激电池续航超级短 ,True
我拿充电管家充一上午.光看绿灯一直闪,True
再远信号就不好了,True
飞个一公里左右就提示信号弱,True
但是有时候会莫名出现遥控器连接有遮挡,True
眼镜的电池不好放置,True
摇杆信号容易丢失,True
桨叶噪音太大了,True
为什么没遮挡两三百米就警告信号差,True
没有多远信号丢失了,True
一直提示动力系统异常,True
电机异响…,True
始终显示动力系统异常,True
充电异常的慢,True
电池会自动掉电,True
突然间就提示传感器异常,True
信号丢失,True
信号丢失之后,True
遥控器不好,True
不怕撞墙叶片损坏,True
有时会丢失图传,True
机身81db的噪音值和御3看齐,True
就是飞远了有遮挡物会丢失图传稳定性,True
品控担忧上午到的下去只能寄回去了准备眼镜显示器有4个坏点,True
飞机飞行时对于暗光环境且gps信号弱时容易失控,True
但是还是摔一次桨叶基本就报废了,True
