评论内容,匹配的长文本
遥控信号丢失保护等,大疆御3C无人机是大疆推出的一款高性能无人机，它具有以下特点：1. 强大的性能：大疆御3C无人机采用了先进的飞行控制系统和导航技术，能够实现高精度的定位和稳定的飞行。它还配备了高性能的摄像头，能够拍摄出高质量的视频和照片。2. 丰富的功能：大疆御3C无人机支持多种飞行模式，包括手动模式、自动模式、兴趣点环绕模式等，能够满足不同用户的需求。此外，它还支持实时图传、自动追踪、一键起飞/降落等功能，操作非常简单。3. 优秀的可靠性：大疆御3C无人机采用了高品质的材料和制造工艺，具有出色的耐用性和抗风能力。它还配备了多重安全保护功能，如低电量自动返航、遥控信号丢失保护等，能够确保无人机在各种环境下的安全飞行。4. 高性价比：相对于同类产品，大疆御3C无人机的价格更加亲民，但它的性能和质量却丝毫不逊色。这使得它成为了许多摄影爱好者和无人机爱好者的首选。总的来说，大疆御3C无人机是一款性能强大、功能丰富、可靠性高、性价比高的无人机，非常适合摄影、航拍、测绘等领域使用。
配合4G模块环境干扰复杂丢遥控信号也不怕4G满满的,心仪已久的御3C终于入手了，没让我失望，跟之前玩的2S根本不是一个级别的，悬停精度非常高，分米级精度和行业的RTK差不多了，飞行稳定度非常好抗风能力很不错毕竟体大稳定，这才能称得上是飞机而不是玩具，配合4G模块环境干扰复杂丢遥控信号也不怕4G满满的。哈苏的色彩非常有特点，底大一级压死人，M4/3应该是目前无人机最大的底了，直接出片就选标准哈苏色彩，后期dlog灰片后期空间非常大，航拍天花板。总之非常满意的一次购物。
丢失原因遥控莫名断开连接（,现在已经消失在人海，为了找他全身刮破，结果还是找不到，丢失原因遥控莫名断开连接（遥控和飞机直线距离约500米），就一直连不上，后面连上了10秒左右给了我一张遗照，就没回来了
我也遇到过丢信号卡图传连不上遥控器,我也遇到过丢信号卡图传连不上遥控器，莫慌，网上飞一飞，或者左右动一动，一会儿就好了，千万不要自动返航！自动返航就是悲剧的开始！
事实明明是遥控器与手机断连导致信号中断坠机丢失,我是新机器mini4Pro总共飞行不到一个小时，出了问题，你们售后就是各种找原因推卸责任，一天换一个说法，到最后刚买的随心换都不让用，事实明明是遥控器与手机断连导致信号中断坠机丢失，最后画面显示的很清楚，还非要扯到电池问题上，真是太不要脸了，店大欺客！
有电堕落一直录像遥控器连不上,质量问题越来越多，除了要求寄回去，啥也不说，飞机基本逻辑都满足不了，有电堕落一直录像遥控器连不上，
遥控器和手机都连不上,我迷你二也和你遇到一样的情况，飞着飞着频不动了。遥控器和手机都连不上，就只能看到他最后拍的画面，但是他并没有灰屏
还连不上手机遥控器,前几天在外边飞渐远模式，直接不下来了，悬停在3米的位置。。还连不上手机遥控器，没电掉下来的
感觉是遥控器发热以后就失效,我的mini2已返厂维修，也是这种问题，飞着飞着突然就短途传还没有显示啊什么的……感觉是遥控器发热以后就失效，遥控器连接迷你三部落也会出现这种情况
买回来飞了不到十次遥控器急停键突然失灵,京东物流没的说，但是大疆的产品有点不尽人意，买回来飞了不到十次遥控器急停键突然失灵，电池换了两次。就是买回来等着换电池就换了一个月。电池换完了遥控器又坏了，走京东售后换了台新的，结果还是台磨损严重的二手货，也不知道是大疆欺骗客户还是京东。写着京东自营结果售后是得找大疆真是无语我奉劝想买的三思后行
但是有时候会莫名出现遥控器连接有遮挡,操作简单，但是有时候会莫名出现遥控器连接有遮挡，其实旁边连个树都没有，然后就是电池太不耐用，充电头也不送，别的没了，眼镜有钱直接上进阶的g2
遥控器与飞机也不能有物体遮挡,信号问题的外界因素有很多，比如有信号干扰，物体遮挡都会造成信号失联，新手适合飞高，反而安全，遥控器与飞机也不能有物体遮挡
断遥控器也试了,关了。断遥控器也试了。档位s档也试过
拆箱遥控器里面就有东西断了一摇就响,16号买的 拆箱遥控器里面就有东西断了一摇就响。客服说线松了 我就呵呵。 17号左摇杆上推卡住伴有异响弹簧被东西卡住了。幸好是手机模拟。要不非炸。这就是京东旗舰店。
刚修了air2就是遥控器C口和手机连接异常了..16块钱部件..给搞了个220的维修板更换,这个价格修划不来吧…刚修了air2就是遥控器C口和手机连接异常了..16块钱部件..给搞了个220的维修板更换
遥控器灵活方便延时极低稳定性,操作难易：之前有玩过一点大疆无人机，所以很容易上手，多玩玩就熟练了灵敏度：反应很快，打杆是指哪打哪，遥控器灵活方便延时极低稳定性：大疆的稳定性不用多说，飞控稳如老gou，不管是室内的视觉定位还是在室外的卫星定位都是稳如泰山做工质量：迷你系列主打轻巧便利，薄一点能省则省的用料可以接受外形外观：外形外观：不能说精致吧，确实小巧，毕竟是大疆，有质感
我遥控器完全无法控制,请教up主，无人机今年3月后过保，今晚起飞后高度五米左右与遥控器失去控制，自己转一圈后主动撞墙炸机，我遥控器完全无法控制，请问我这种情况还要申请数据分析吗？望回复，谢谢
遥控器都搞没电了,很好，玩了一上午，遥控器都搞没电了，赶紧冲，一会还能飞
然后遥控器没电了,有没碰到第一次飞完，加起来半个小时不到，然后遥控器没电了，遥控器怎么都充不上电的情况，新机，投诉无门，只提供维修，会不会是翻新的！？对这个品牌非常失望……
遥控器卡顿,遥控器卡顿，不流畅
我的遥控器晃动虚位比这个大,不错了，我的遥控器晃动虚位比这个大
遥控器过热,遥控器过热，
遥控器关机都能自动安全返回,这还真算推脱，所有无人机广告宣传都是除了极端恶劣天气，无人机即使关闭导航，定位系统，遥控器关机都能自动安全返回，无法返回现象只能算质量问题或虚假宣传
遥控器飞行记录肯定有干扰预警,在这么密集的城市街道飞行，干扰本来就大，而且也不安全，遥控器飞行记录肯定有干扰预警
飞机很好就遥控器的信号不好老被干扰都让人无语买什么遥控也不要小白控还卡图专,飞机很好就遥控器的信号不好老被干扰都让人无语买什么遥控也不要小白控还卡图专
开阔的地方你要看在哪有些地方会有干扰但是基本看好遥控器上信号或者图传程度一般都可以控制,开阔的地方你要看在哪有些地方会有干扰但是基本看好遥控器上信号或者图传程度一般都可以控制
遥控器发烫的厉害,遥控器发烫的厉害！有时出现卡顿
遥控器飞机都发热的厉害,air3好像发热很严重，遥控器飞机都发热的厉害！可以再等等看！
遥控器是高亮屏在阳光下发热严重虽然有散热风扇起不了多大作用,遥控器是高亮屏在阳光下发热严重虽然有散热风扇起不了多大作用
遥控器充电都充不进,什么垃圾等下 遥控器充电都充不进
遥控器充不进电,遥控器充不进电，能修么？
御2带屏遥控器长期不用充不进电能维修吗,御2带屏遥控器长期不用充不进电能维修吗？
我前天还是带平遥控刚飞上去就失控了 ,你成功了没有  我前天还是带平遥控刚飞上去就失控了  点了自动反航都不行  给客服电话  说过保了只能7.5折
我的手机云台有异常抖动的现象,我的手机云台有异常抖动的现象，但客服说是我的手机不兼容。抖动是机械问题，兼容是软件问题，客服垃圾的很。
我想知道目前买御三pro的用户是不是都出现了拍视频的时候云台异常抖动,我朋友的御三pro，今天出去试飞拍视频，然后云台抖动。以前我飞p4p的时候，这个情况一边都是S档会出现，或者云台电机出问题过载严重。我想知道目前买御三pro的用户是不是都出现了拍视频的时候云台异常抖动
维修寄回后发现飞机云台异常,我a3百米高空性能故障坠机，免费维修，出于对大疆信任同意了，维修寄回后发现飞机云台异常，更换的配件是旧的有磨损痕迹，二次寄回维修，配件还是旧的，客服先说是运输碰撞（大家都懂飞机包裹的严实，而且磨损的部位不可能碰撞到，再电话回复说是可能是残次品或者维修时维修师傅导致。
云台异常抽风抖动看见好几个,是的，云台异常抽风抖动看见好几个
被打不会翻滚和云台异常,被打不会翻滚和云台异常
总是显示云台异常,收到货充电后操作显示镜头不能调整，总是显示云台异常，被卡，并且显示飞行时间1.92小时，13.9公里，怀疑翻新机，我要求退货退款，结果商家让我寄到大疆检测，出结果后再说，奇葩。
云台的0度和90度的切换延迟也比A3大,不仅如此，云台的0度和90度的切换延迟也比A3大。
云台的0度和90度的切换延迟也比A3大,不仅如此，云台的0度和90度的切换延迟也比A3大。。还有小风的时候，前进会有很大的左右偏移，用A3测试则很稳。
拉升40m左右突然就歪云台然后就失控坠机了,我跟你一模一样的问题，拉升40m左右突然就歪云台然后就失控坠机了，周围空旷也没有树和电线，售后赔了一台新裸机
云台那个抖动随后失控明显是云台烧了,看视频大概率是电路板故障了，可能是锈蚀造成短路导致的，云台那个抖动随后失控明显是云台烧了，应该是短路，原因就很多了，穿云、环境潮湿、部件老化等
3个月以后云台彻底失控,和你讲讲我的经历，我小炸鸡，没伤到云台，大疆让我换云台，我同意了，然后换回来偶尔有点小bug我没特别在意，3个月以后云台彻底失控，我拿回去，大疆说云台有问题修不了只能换不能修。也是一顿几折挤牙膏，最后六折维修，但是换的云台没收！！！修不好的云台它拿去干嘛呐！又是600！
出现过一次云台倾斜,在哈尔滨和漠河试过了，出现过一次云台倾斜，其他没问题
然后陷入长焦和云台倾斜的风波,御三玩家真的冤大头大头，刚出来半成品玩半年，然后陷入长焦和云台倾斜的风波，最后直接加量不加价下架一波背刺带走
云台依旧自动漂移,问题是，御3现有的问题大疆官方解决了吗？云台依旧自动漂移，大疆的态度就是不负责任
air3s今天我飞遇到云台卡顿,air3s今天我飞遇到云台卡顿，换个苹果手机就没有了
我问一下mini3Pro从空中掉下来显示云台被卡屏幕也黑屏了这是什么情况需要换云台吗,我问一下mini3Pro从空中掉下来显示云台被卡屏幕也黑屏了这是什么情况需要换云台吗？
但是飞到一百米高云台没有出现晃动,操作难易：新手第一次买，直接试飞，飞了100米高。灵敏度：下降是手动下降的，不要把遥控杆打到头，灵密度很高的。稳定性：晚上风有点大，但是飞到一百米高云台没有出现晃动，下降速度也很快。
air2S云台过载算明显吗这些最后是厂家的问题还是消费者的问题,三星电池爆炸算明显吗，小米烧WiFi算明显吗，air2S云台过载算明显吗这些最后是厂家的问题还是消费者的问题
一般云台过载基本都是没有拆云台保护壳就开机,一般云台过载基本都是没有拆云台保护壳就开机，别问我为啥知道，血的教训
就是app现在云台电机过载修要多少钱过保了,云台下不去90度最低只能上60度，就是app现在云台电机过载修要多少钱过保了
云台过载,三星电池爆炸算明显吗，小米烧WiFi算明显吗，air2S云台过载算明显吗这些最后是厂家的问题还是消费者的问题
云台过载,一般云台过载基本都是没有拆云台保护壳就开机，别问我为啥知道，血的教训
云台过载,云台过载，你开机的时候有没有先拆开云台盖呢
或者云台电机出问题过载严重,我朋友的御三pro，今天出去试飞拍视频，然后云台抖动。以前我飞p4p的时候，这个情况一边都是S档会出现，或者云台电机出问题过载严重。我想知道目前买御三pro的用户是不是都出现了拍视频的时候云台异常抖动
我是飞了几次老提示云台电机过载,想了几年的大疆无人机终于到手了，虽然说是很智能了对于新手来说还是需要几天熟悉操作的。拆开包装后要记得将固定云台的黑色泡沫拿掉！我是飞了几次老提示云台电机过载，飞行画面抖动，最后泡沫自己掉下来才发现！说我笨可以，提高下服务水准在简易说明说中提示一下也可以的！希望我的飞行技术越来越好，也希望大疆越来越好！
云台轴臂电机故障了吧,云台轴臂电机故障了吧！是有过小撞击吗？不影响飞的那种
倍率混合变焦云台抖动,你这小问题，我买的Air3切换9倍率混合变焦云台抖动，目前正在和大疆售400联系，希望能换货处理
然后云台抖动,我朋友的御三pro，今天出去试飞拍视频，然后云台抖动。以前我飞p4p的时候，这个情况一边都是S档会出现，或者云台电机出问题过载严重。我想知道目前买御三pro的用户是不是都出现了拍视频的时候云台异常抖动
长焦和延时会导致云台抖动,长焦和延时会导致云台抖动
发现很多云台无缘无故抖动抽风的,air3产品应该有缺陷，发现很多云台无缘无故抖动抽风的，无遮挡进入姿态坠机的你是我刷到第二个
云台抖动根本没道理啊为啥啊,在网上刷到很多这种无人机出问题的视频了，难道无人机就这么容易出问题吗？云台抖动根本没道理啊为啥啊，怎么会抖动呢。本来还想买一个玩玩的。
我的云台抖动不受控制,我的云台抖动不受控制
干扰枪会云台抖动,干扰枪会云台抖动？
云台不抖动,大品牌值得信赖，抗风能力强，稳定性高，控制能力强做工质量：做工好，拍照清晰，云台不抖动。操作难易：简单易学，上手快，定位准。其他特色：超过预期。值得推荐。
外加云台抖动,御3p 刚炸，三对桨叶，一条腿，外加云台抖动
结果第二台开箱云台还是有滋滋电流声,先是云台怪叫异响，沟通几次终于换了货，结果第二台开箱云台还是有滋滋电流声，只是比起怪叫声来说好多了，不想折腾只能认了… 希望dji售后也要跟上，别一遇到问题就说公差引起的不影响正常使用，这不就是质量问题吗？如果你买一辆新车有异响，你不换货？
云台有电流滋滋声,云台有电流滋滋声
首先就是云台的抽风,刚从4000多海拔的地方回来，mini3P操作员，7级风3800海拔可以起飞，起飞就被吹着横飞慢慢飘走；普通拍照和几种格式的视频基本都没问题，360全景照片一定没法合成，2%就卡死，需要手动停掉，180°照片尝试不下十次成功了一次，反而是“广角”那个9张合成的完全没问题；但是~云台被吹歪了，整个画面都是歪的，右拨轮没问题，左拨轮我不敢动，录了两段当乐子留着了，然后尝试逆风顺风侧风飞，它都没法回正，只好返航降落，然后落地它就自己拧回来了，重启后基本正常，继续顶风作案...回来检查视频的时候在电脑屏幕上发现还是偶尔会出现问题，首先就是云台的抽风，那个和海拔无关，纯纯的从娘胎里带出来的问题，随机出现了几次，然后就是云台歪脖，比抽风幅度小，发生过很短暂的一两次，然后是画面的抽搐，轻微，几次；然后是画面的波浪纹，这个是第一次见，怀疑的返航时大风，我垂直云台慢慢抬起拍摄时云台和风的较劲？耗电比我预期好很多，两块电池都飞了18分钟左右没有出现突然掉电的情况
我的也是云台突然抽风,我的也是云台突然抽风，然后电子调速器异常，免费修了
我Air3也是正常飞行中云台抽搐然后断图传,我Air3也是正常飞行中云台抽搐然后断图传
有一个小小的瑕疵就是云台保护罩并不是很方便拆,大玩具，慢慢上手，电池掉电太快后续购买了备用电池。已经飞了五六圈了，纯小白普通模式还是毕竟容易上手的。安全保护系统做的很棒，自动返航等设定避免了很多不必要的麻烦。有一个小小的瑕疵就是云台保护罩并不是很方便拆，总担心哪一次力度大点就拆坏了。后面慢慢玩，技术慢慢练。感谢后续客服耐心解答了我的很多问题。
校准后云台向左歪,云台校准无报错，校准后云台向左歪
云台是不歪了,如果手动校准，云台是不歪了，但水平歪了
只要云台不歪就不影响使用,只要云台不歪就不影响使用
我的云台起飞前会自己突然歪到限位然后在慢慢回正,我的云台起飞前会自己突然歪到限位然后在慢慢回正，还有异响，快递到大疆南京售后当天检测结果就出来了，开始维修了，还是免费，感觉效率挺高的！
我第一次从官网买了御2专业版买回来云台都是歪的更本没法控制,我第一次从官网买了御2专业版买回来云台都是歪的更本没法控制
还有刚买的第一次飞打方向时候云台直接歪了,还有刚买的第一次飞打方向时候云台直接歪了。不是FPV模式
御3的云台经常会歪,御3的云台经常会歪，有时候会抽搐，拿去寄修客服说没问题
云台被吹歪了,刚从4000多海拔的地方回来，mini3P操作员，7级风3800海拔可以起飞，起飞就被吹着横飞慢慢飘走；普通拍照和几种格式的视频基本都没问题，360全景照片一定没法合成，2%就卡死，需要手动停掉，180°照片尝试不下十次成功了一次，反而是“广角”那个9张合成的完全没问题；但是~云台被吹歪了，整个画面都是歪的，右拨轮没问题，左拨轮我不敢动，录了两段当乐子留着了，然后尝试逆风顺风侧风飞，它都没法回正，只好返航降落，然后落地它就自己拧回来了，重启后基本正常，继续顶风作案...回来检查视频的时候在电脑屏幕上发现还是偶尔会出现问题，首先就是云台的抽风，那个和海拔无关，纯纯的从娘胎里带出来的问题，随机出现了几次，然后就是云台歪脖，比抽风幅度小，发生过很短暂的一两次，然后是画面的抽搐，轻微，几次；然后是画面的波浪纹，这个是第一次见，怀疑的返航时大风，我垂直云台慢慢抬起拍摄时云台和风的较劲？耗电比我预期好很多，两块电池都飞了18分钟左右没有出现突然掉电的情况
然后就是云台歪脖,刚从4000多海拔的地方回来，mini3P操作员，7级风3800海拔可以起飞，起飞就被吹着横飞慢慢飘走；普通拍照和几种格式的视频基本都没问题，360全景照片一定没法合成，2%就卡死，需要手动停掉，180°照片尝试不下十次成功了一次，反而是“广角”那个9张合成的完全没问题；但是~云台被吹歪了，整个画面都是歪的，右拨轮没问题，左拨轮我不敢动，录了两段当乐子留着了，然后尝试逆风顺风侧风飞，它都没法回正，只好返航降落，然后落地它就自己拧回来了，重启后基本正常，继续顶风作案...回来检查视频的时候在电脑屏幕上发现还是偶尔会出现问题，首先就是云台的抽风，那个和海拔无关，纯纯的从娘胎里带出来的问题，随机出现了几次，然后就是云台歪脖，比抽风幅度小，发生过很短暂的一两次，然后是画面的抽搐，轻微，几次；然后是画面的波浪纹，这个是第一次见，怀疑的返航时大风，我垂直云台慢慢抬起拍摄时云台和风的较劲？耗电比我预期好很多，两块电池都飞了18分钟左右没有出现突然掉电的情况
云台歪了,我也是，那时候我在500米高拍延时，然后卫星瞬间掉二十多然后信号弱，直接姿态模式，云台歪了，过了几秒他在天上自己飘了一段距离，然后又恢复正常了，这个好像是大疆Air3的通病
云台歪了,我的mini3Pro见夏清以后云台歪了一点点，手动校准调不回来，我是处女座，蓝瘦死
云台会很歪不知道为什么,云台会很歪不知道为什么，云台校准过
我的mini3Pro见夏清以后云台歪了一点点,我的mini3Pro见夏清以后云台歪了一点点，手动校准调不回来，我是处女座，蓝瘦死
歪云台 ,总体来说御3有的问题他都有 个人来说如果能接受2s的续航的话还是更推荐2s吧 歪云台 延时抖动 鬼影 闪蓝光 一个都逃不掉
快速前飞时云台会被顶歪的问题,首发购入，体验过来评价。操作简单，灵敏度高，稳定性也不错，关键是小巧，用起来非常的方便，拍照，拍视频，都是杠杠的。还支持无损竖拍，可以将镜头竖起来拍摄，拍摄竖版视频进行网络传播。它的云台构型妥善解决了无人机在俯拍后退、快速前飞时云台会被顶歪的问题。做工质量非常精细，外形外观设计漂亮，操作简单，横竖拍摄、三向避障、跟随功能、大师镜头等非常适用。
上次我直接把云台撞歪了,你这个还好，上次我直接把云台撞歪了，直接换新。
我的air2s避障失效云台摔坏了后来分析数据确定机器自身问题,我的air2s避障失效云台摔坏了后来分析数据确定机器自身问题，免费更换了配件，没买随心换
云台吹偏的问题解决了么,云台吹偏的问题解决了么
比如我1W买的精灵炸机了机臂断了云台掉了镜头裂了700块钱能再换1W块钱么你觉得,比如我1W买的精灵炸机了机臂断了云台掉了镜头裂了700块钱能再换1W块钱么你觉得
云台断裂,我下午刚炸，云台断裂，螺旋桨断了一个
云台烂了外壳炸了,我的''a2返回中降到两三单小直接掉下来，云台烂了外壳炸了，大彊客服叫我邮过去到付，寄回来的全新的，连邮费都不用付。大彊太牛了，必须的好评
云台左右贴膜揭开后有刮画现象,云台左右贴膜揭开后有刮画现象，不知是运输造成还是二次销售？
云台掉了机臂断了桨叶断了,刚刚炸机了，云台掉了机臂断了桨叶断了，售后说一千往上了得，我修不起啊
我的minise炸机了我的云台完好但是和飞机断开来了我看别人的视屏都说要直接换那我的完好无损的云台呢,我的minise炸机了我的云台完好但是和飞机断开来了我看别人的视屏都说要直接换那我的完好无损的云台呢？？？
air3炸机云台容易断,air3炸机云台容易断
云台的电机有异响,我的2s是撞树炸机后重启，APP提示云台被卡住。云台也不能自检，用手拨动云台也没有阻力感。云台的电机有异响。已经寄回大疆维修了。虽然还在定损中。
未起飞时云台有明显滋滋异响,操作难易：简单易上手，提示很齐全外形外观：相较御3的双摄，3Pro三摄还是很帅的做工质量：未起飞时云台有明显滋滋异响，无风环境下3x，1x延时摄影时非正常抖动（非位置偏移）厉害稳定性：RC信号良好时图传稳定，切换镜头有严重卡顿，延时摄影结束&自动返航时在RC信号满格条件下图传出现非正常条纹其他特色：全向避障在光充足情况下工作良好，选择常规智能返航时的路线规划过于激进，有安全隐患，40分钟续航时间很耐用，可以完成更多的摄影工作
先是云台怪叫异响,先是云台怪叫异响，沟通几次终于换了货，结果第二台开箱云台还是有滋滋电流声，只是比起怪叫声来说好多了，不想折腾只能认了… 希望dji售后也要跟上，别一遇到问题就说公差引起的不影响正常使用，这不就是质量问题吗？如果你买一辆新车有异响，你不换货？
17号左摇杆上推卡住伴有异响弹簧被东西卡住了,16号买的 拆箱遥控器里面就有东西断了一摇就响。客服说线松了 我就呵呵。 17号左摇杆上推卡住伴有异响弹簧被东西卡住了。幸好是手机模拟。要不非炸。这就是京东旗舰店。
都出现了五维摇杆容易脱落的情况,我2018年买的大疆Air1，用了半年出现了摇杆磨损无法校准飞行时不打杆自动偏航，2018年问题才多呢，djigo4的飞机搜星慢得要命，精灵4云台不正，默认遥控器离飞机3米以内是2.4g信号优先，甚至还有排线外露这些设计缺陷，御pro当时的标配遥控器（甚至包括御2的以及一代黑控）都出现了五维摇杆容易脱落的情况。其实这样看来大疆现在杜绝了一些复杂的机械结构，所以说这一点的歪无所谓
摇杆有事会失灵 ,避障不管用  摇杆有事会失灵 方向不是很稳
用了半年出现了摇杆磨损无法校准飞行时不打杆自动偏航,我2018年买的大疆Air1，用了半年出现了摇杆磨损无法校准飞行时不打杆自动偏航，2018年问题才多呢，djigo4的飞机搜星慢得要命，精灵4云台不正，默认遥控器离飞机3米以内是2.4g信号优先，甚至还有排线外露这些设计缺陷，御pro当时的标配遥控器（甚至包括御2的以及一代黑控）都出现了五维摇杆容易脱落的情况。其实这样看来大疆现在杜绝了一些复杂的机械结构，所以说这一点的歪无所谓
我打开穿越摇杆时盒子都裂开了,第一次入手大疆无人机，怎么说呢开箱体验不是很好，我打开穿越摇杆时盒子都裂开了，无人机套装打开后里面一个螺旋桨的泡棉是掉下来的，我仔细看了没有指纹或人为导致的痕迹，确定这是物流运输导致的，幸好东西没有损伤，无人机电池仓有灰而且擦不掉，不知道什么原因，整体无人机做工吧挺好的，但是很多配件做工不行，你要按苹果的标准比肯定差远了，别觉得我吹毛求疵，当时买的时候觉得大疆是中国第一无人机品牌，现在这种体验只能说一般，我只打开包装激活升级了，还没飞，之后再评价吧
一旦机器因误操作或因信号丢失触发自动返航极易炸机,看地图可知，飞机是在闹市飞的，周围存在高楼幕墙、电线等障碍物，一旦机器因误操作或因信号丢失触发自动返航极易炸机，建议高学历人员在培训通过后再操作，谢谢
信号丢失又不是图传丢失,信号丢失又不是图传丢失
为啥我的Avata飞了几十米就图传信号丢失,为啥我的Avata飞了几十米就图传信号丢失
500米信号丢失,500米信号丢失。直接炸了。商品详情说信号9千米以上。
信号丢失平安飞回,飞机到了一直没有时间试飞。到海边玩了一次，从试飞开始飞行了了好几个项目。总体非常满意。首先，飞行非常平稳，抗风能力很好，海边风大能平稳悬停，拍摄效果很好。飞出超视线，信号丢失平安飞回。跟随拍摄，没有丢失目标。
图传信号丢失即自动返航,操作难易：比较容量。灵敏度：佳。稳定性：好。做工质量：一般。外形外观：漂亮。其他特色：图传信号丢失即自动返航，安全性高。做工一般，乍一看像是玩具，上手很轻。开机后GPS找到信号稍久（表现为返航点更新稍慢），还有就是遥控器移动后（人拿着遥控器走一段距离后，返航点不会自动刷新）要手动刷新返航点。画质与御2还是有差距的。
2km内无遮挡十分跟手2.5km后开始信号丢失稳定性,操作难易：简单灵敏度：2km内无遮挡十分跟手2.5km后开始信号丢失稳定性：差，三级风以上稳定性骤降外形外观：方便小巧
应该不会丢失信号的,收到Air3并使用了一段时间来客观评价一下，飞行器做工细致，仔细检查机器全新，没有发现问题，且携带也还方便！科普相关教程后，开始飞行，操作上很精准、便捷，只要谨慎、保守些飞行，大概率可以避免发生的安全问题，高空的飞行视觉确实很大气、广阔的，视觉感很强，在无信号干扰宽广的场地飞个几公里的话，应该不会丢失信号的，综合体验下来觉得是一款不错的产品，下面就个人来说，觉得不足的地方，此机型拍摄的画质表现还是有些差强人意，和使用的A1全画幅对比不论是视频还是图片都有非常大的差距，看惯了高画质表现，觉得这个机器拍摄的色彩层次感、画面的纯净度，清晰度等达不到自己期待的理想效果，同样都是4K60P的视频和图片，差距还是明显的，考虑到飞行器的传感器较小等问题，这些都能接受的，Air3让我也体验到了飞行的快乐感，总之这款产品达到了大疆预期市场的目的，产品中规中矩的表现满足了大部分飞友的需求和目的！
信号有遮挡容易丢失,操作难易：简单易操作，模拟器飞了三个多小时就能上手。灵敏度：摇杆基本指哪打哪。稳定性：信号有遮挡容易丢失。做工质量：大疆工艺流程。外形外观：小巧轻便，外形设计很赞其他特色：操作简单易上手，内置桨叶防炸机。
摇杆信号容易丢失,目前发现的主要问题，抗风比较差，速度比较慢，摇杆信号容易丢失，其他完美，希望尽快放开m档
没有多远信号丢失了,差的很，没有多远信号丢失了，飞机现在也丢失的状态
信号丢失,看地图可知，飞机是在闹市飞的，周围存在高楼幕墙、电线等障碍物，一旦机器因误操作或因信号丢失触发自动返航极易炸机，建议高学历人员在培训通过后再操作，谢谢
信号丢失,信号丢失又不是图传丢失
信号丢失,为啥我的Avata飞了几十米就图传信号丢失
信号丢失,500米信号丢失。直接炸了。商品详情说信号9千米以上。
